choice_code,institute_code,branch_name,course
0519582310,05195,Pharmacy,Pharmacy
0519682310,05196,Pharmacy,Pharmacy
0519710010,05197,Pharm D ( Doctor of Pharmacy),Pharmacy
0519782310,05197,Pharmacy,Pharmacy
0519882310,05198,Pharmacy,Pharmacy
0519982310,05199,Pharmacy,Pharmacy
0520082310,05200,Pharmacy,Pharmacy
0520282310,05202,Pharmacy,Pharmacy
0520382310,05203,Pharmacy,Pharmacy
0520482310,05204,Pharmacy,Pharmacy
0520582310,05205,Pharmacy,Pharmacy
0520682310,05206,Pharmacy,Pharmacy
0520710010,05207,Pharm D ( Doctor of Pharmacy),Pharmacy
0520782310,05207,Pharmacy,Pharmacy
0520882310,05208,Pharmacy,Pharmacy
0520910010,05209,Pharm D ( Doctor of Pharmacy),Pharmacy
0520982310,05209,Pharmacy,Pharmacy
0521082310,05210,Pharmacy,Pharmacy
0521182310,05211,Pharmacy,Pharmacy
0521282310,05212,Pharmacy,Pharmacy
0526482310,05264,Pharmacy,Pharmacy
0526782310,05267,Pharmacy,Pharmacy
0527282310,05272,Pharmacy,Pharmacy
0527482310,05274,Pharmacy,Pharmacy
0527682310,05276,Pharmacy,Pharmacy
0527882310,05278,Pharmacy,Pharmacy
0527982310,05279,Pharmacy,Pharmacy
0528182310,05281,Pharmacy,Pharmacy
0528282310,05282,Pharmacy,Pharmacy
0528382310,05283,Pharmacy,Pharmacy
0528682310,05286,Pharmacy,Pharmacy
0528782310,05287,Pharmacy,Pharmacy
0529282310,05292,Pharmacy,Pharmacy
0529382310,05293,Pharmacy,Pharmacy
0529482310,05294,Pharmacy,Pharmacy
0530382310,05303,Pharmacy,Pharmacy
0539182310,05391,Pharmacy,Pharmacy
0540510010,05405,Pharm D ( Doctor of Pharmacy),Pharmacy
0540582310,05405,Pharmacy,Pharmacy
0540782310,05407,Pharmacy,Pharmacy
0541082310,05410,Pharmacy,Pharmacy
0541682310,05416,Pharmacy,Pharmacy
0542182310,05421,Pharmacy,Pharmacy
0542482310,05424,Pharmacy,Pharmacy
0542582310,05425,Pharmacy,Pharmacy
0542782310,05427,Pharmacy,Pharmacy
0542882310,05428,Pharmacy,Pharmacy
0542982310,05429,Pharmacy,Pharmacy
0543082310,05430,Pharmacy,Pharmacy
0543582310,05435,Pharmacy,Pharmacy
0543782310,05437,Pharmacy,Pharmacy
0543982310,05439,Pharmacy,Pharmacy
0544282310,05442,Pharmacy,Pharmacy
0544382310,05443,Pharmacy,Pharmacy
0544682310,05446,Pharmacy,Pharmacy
0545082310,05450,Pharmacy,Pharmacy
0545182310,05451,Pharmacy,Pharmacy
0545282310,05452,Pharmacy,Pharmacy
0545482310,05454,Pharmacy,Pharmacy
0545582310,05455,Pharmacy,Pharmacy
0545982310,05459,Pharmacy,Pharmacy
0546082310,05460,Pharmacy,Pharmacy
0546182310,05461,Pharmacy,Pharmacy
0546282310,05462,Pharmacy,Pharmacy
0546382310,05463,Pharmacy,Pharmacy
0546682310,05466,Pharmacy,Pharmacy
0546782310,05467,Pharmacy,Pharmacy
0546882310,05468,Pharmacy,Pharmacy
0546982310,05469,Pharmacy,Pharmacy
0547182310,05471,Pharmacy,Pharmacy
0547282310,05472,Pharmacy,Pharmacy
0547382310,05473,Pharmacy,Pharmacy
0547482310,05474,Pharmacy,Pharmacy
0547682310,05476,Pharmacy,Pharmacy
0547782310,05477,Pharmacy,Pharmacy
0547882310,05478,Pharmacy,Pharmacy
0547982310,05479,Pharmacy,Pharmacy
0548082310,05480,Pharmacy,Pharmacy
0548182310,05481,Pharmacy,Pharmacy
0548282310,05482,Pharmacy,Pharmacy
0548682310,05486,Pharmacy,Pharmacy
0548882310,05488,Pharmacy,Pharmacy
0549182310,05491,Pharmacy,Pharmacy
0549282310,05492,Pharmacy,Pharmacy
0549582310,05495,Pharmacy,Pharmacy
0550082310,05500,Pharmacy,Pharmacy
0550382310,05503,Pharmacy,Pharmacy
0550582310,05505,Pharmacy,Pharmacy
0550682310,05506,Pharmacy,Pharmacy
0550782310,05507,Pharmacy,Pharmacy
0551482310,05514,Pharmacy,Pharmacy
0551882310,05518,Pharmacy,Pharmacy
0551982310,05519,Pharmacy,Pharmacy
0552082310,05520,Pharmacy,Pharmacy
0552282310,05522,Pharmacy,Pharmacy
0553182310,05531,Pharmacy,Pharmacy
0553382310,05533,Pharmacy,Pharmacy
0553682310,05536,Pharmacy,Pharmacy
0554082310,05540,Pharmacy,Pharmacy
0554182310,05541,Pharmacy,Pharmacy
0565382310,05653,Pharmacy,Pharmacy
0565682310,05656,Pharmacy,Pharmacy
0565882310,05658,Pharmacy,Pharmacy
0566482310,05664,Pharmacy,Pharmacy
0567682310,05676,Pharmacy,Pharmacy
0567782310,05677,Pharmacy,Pharmacy
0600882310,06008,Pharmacy,Pharmacy
0625682310,06256,Pharmacy,Pharmacy
0625782310,06257,Pharmacy,Pharmacy
0625882310,06258,Pharmacy,Pharmacy
0635582310,06355,Pharmacy,Pharmacy
0635610010,06356,Pharm D ( Doctor of Pharmacy),Pharmacy
0635682310,06356,Pharmacy,Pharmacy
0635882310,06358,Pharmacy,Pharmacy
0636182310,06361,Pharmacy,Pharmacy
0636282310,06362,Pharmacy,Pharmacy
0636382310,06363,Pharmacy,Pharmacy
0636410010,06364,Pharm D ( Doctor of Pharmacy),Pharmacy
0636482310,06364,Pharmacy,Pharmacy
0636582310,06365,Pharmacy,Pharmacy
0636782310,06367,Pharmacy,Pharmacy
0636882310,06368,Pharmacy,Pharmacy
0636982310,06369,Pharmacy,Pharmacy
0637010010,06370,Pharm D ( Doctor of Pharmacy),Pharmacy
0637082310,06370,Pharmacy,Pharmacy
0637110010,06371,Pharm D ( Doctor of Pharmacy),Pharmacy
0637182310,06371,Pharmacy,Pharmacy
0637282310,06372,Pharmacy,Pharmacy
0637682310,06376,Pharmacy,Pharmacy
0637782310,06377,Pharmacy,Pharmacy
0637882310,06378,Pharmacy,Pharmacy
0638010010,06380,Pharm D ( Doctor of Pharmacy),Pharmacy
0638082310,06380,Pharmacy,Pharmacy
0638110010,06381,Pharm D ( Doctor of Pharmacy),Pharmacy
0638182310,06381,Pharmacy,Pharmacy
0638282310,06382,Pharmacy,Pharmacy
0638310010,06383,Pharm D ( Doctor of Pharmacy),Pharmacy
0638382310,06383,Pharmacy,Pharmacy
0638482310,06384,Pharmacy,Pharmacy
0638582310,06385,Pharmacy,Pharmacy
0638782310,06387,Pharmacy,Pharmacy
0638882310,06388,Pharmacy,Pharmacy
0638982310,06389,Pharmacy,Pharmacy
0639082310,06390,Pharmacy,Pharmacy
0639182310,06391,Pharmacy,Pharmacy
0639282310,06392,Pharmacy,Pharmacy
0639382310,06393,Pharmacy,Pharmacy
0639482310,06394,Pharmacy,Pharmacy
0639582310,06395,Pharmacy,Pharmacy
0639682310,06396,Pharmacy,Pharmacy
0639782310,06397,Pharmacy,Pharmacy
0639882310,06398,Pharmacy,Pharmacy
0639982310,06399,Pharmacy,Pharmacy
0640082310,06400,Pharmacy,Pharmacy
0648382310,06483,Pharmacy,Pharmacy
0648882310,06488,Pharmacy,Pharmacy
0649110010,06491,Pharm D ( Doctor of Pharmacy),Pharmacy
0649182310,06491,Pharmacy,Pharmacy
0650182310,06501,Pharmacy,Pharmacy
0650382310,06503,Pharmacy,Pharmacy
0650482310,06504,Pharmacy,Pharmacy
0650982310,06509,Pharmacy,Pharmacy
0651082310,06510,Pharmacy,Pharmacy
0651682310,06516,Pharmacy,Pharmacy
0661610010,06616,Pharm D ( Doctor of Pharmacy),Pharmacy
0661682310,06616,Pharmacy,Pharmacy
0665282310,06652,Pharmacy,Pharmacy
0675710010,06757,Pharm D ( Doctor of Pharmacy),Pharmacy
0675782310,06757,Pharmacy,Pharmacy
0682082310,06820,Pharmacy,Pharmacy
0682382310,06823,Pharmacy,Pharmacy
0683382310,06833,Pharmacy,Pharmacy
0683582310,06835,Pharmacy,Pharmacy
0687982310,06879,Pharmacy,Pharmacy
0688682310,06886,Pharmacy,Pharmacy
0689082310,06890,Pharmacy,Pharmacy
0689182310,06891,Pharmacy,Pharmacy
0689382310,06893,Pharmacy,Pharmacy
0690082310,06900,Pharmacy,Pharmacy
0690282310,06902,Pharmacy,Pharmacy
0690482310,06904,Pharmacy,Pharmacy
0690582310,06905,Pharmacy,Pharmacy
0690682310,06906,Pharmacy,Pharmacy
0690782310,06907,Pharmacy,Pharmacy
0690882310,06908,Pharmacy,Pharmacy
0690982310,06909,Pharmacy,Pharmacy
0691082310,06910,Pharmacy,Pharmacy
0691482310,06914,Pharmacy,Pharmacy
0691582310,06915,Pharmacy,Pharmacy
0692382310,06923,Pharmacy,Pharmacy
0692782310,06927,Pharmacy,Pharmacy
0693082310,06930,Pharmacy,Pharmacy
0693182310,06931,Pharmacy,Pharmacy
0693282310,06932,Pharmacy,Pharmacy
0693482310,06934,Pharmacy,Pharmacy
0693582310,06935,Pharmacy,Pharmacy
0693682310,06936,Pharmacy,Pharmacy
0693782310,06937,Pharmacy,Pharmacy
0694210010,06942,Pharm D ( Doctor of Pharmacy),Pharmacy
0694282310,06942,Pharmacy,Pharmacy
0694382310,06943,Pharmacy,Pharmacy
0695182310,06951,Pharmacy,Pharmacy
0695282310,06952,Pharmacy,Pharmacy
0695382310,06953,Pharmacy,Pharmacy
0695482310,06954,Pharmacy,Pharmacy
0695682310,06956,Pharmacy,Pharmacy
0695782310,06957,Pharmacy,Pharmacy
0695882310,06958,Pharmacy,Pharmacy
0696182310,06961,Pharmacy,Pharmacy
0696282310,06962,Pharmacy,Pharmacy
0696482310,06964,Pharmacy,Pharmacy
0696582310,06965,Pharmacy,Pharmacy
0698082310,06980,Pharmacy,Pharmacy
0698182310,06981,Pharmacy,Pharmacy
0698282310,06982,Pharmacy,Pharmacy
0698582310,06985,Pharmacy,Pharmacy
0698982310,06989,Pharmacy,Pharmacy
1610382310,16103,Pharmacy,Pharmacy
1610482310,16104,Pharmacy,Pharmacy
1610782310,16107,Pharmacy,Pharmacy
1610982310,16109,Pharmacy,Pharmacy
1611082310,16110,Pharmacy,Pharmacy
1611282310,16112,Pharmacy,Pharmacy
1611682310,16116,Pharmacy,Pharmacy
1611782310,16117,Pharmacy,Pharmacy
1633582310,16335,Pharmacy,Pharmacy
1633682310,16336,Pharmacy,Pharmacy
1633782310,16337,Pharmacy,Pharmacy
1633882310,16338,Pharmacy,Pharmacy
1633982310,16339,Pharmacy,Pharmacy
1634082310,16340,Pharmacy,Pharmacy
1634182310,16341,Pharmacy,Pharmacy
1634382310,16343,Pharmacy,Pharmacy
1634782310,16347,Pharmacy,Pharmacy
0130782310,01307,Pharmacy,Pharmacy
0131182310,01311,Pharmacy,Pharmacy
0134582310,01345,Pharmacy,Pharmacy
0259882310,02598,Pharmacy,Pharmacy
0260282310,02602,Pharmacy,Pharmacy
0279882310,02798,Pharmacy,Pharmacy
0318682310,03186,Pharmacy,Pharmacy
0329882310,03298,Pharmacy,Pharmacy
0349382310,03493,Pharmacy,Pharmacy
0354082310,03540,Pharmacy,Pharmacy
0529582310,05295,Pharmacy,Pharmacy
0546482310,05464,Pharmacy,Pharmacy
0552382310,05523,Pharmacy,Pharmacy
1611982310,16119,Pharmacy,Pharmacy
1634282310,16342,Pharmacy,Pharmacy
1634482310,16344,Pharmacy,Pharmacy
0278682310,02786,Pharmacy,Pharmacy
0350082310,03500,Pharmacy,Pharmacy
0530082310,05300,Pharmacy,Pharmacy
0551782310,05517,Pharmacy,Pharmacy
0553482310,05534,Pharmacy,Pharmacy
0698882310,06988,Pharmacy,Pharmacy
1611182310,16111,Pharmacy,Pharmacy
0202782370,02027,Pharmacy,Pharmacy
