choice_code,institute_code,branch_name,course
0414291010,04142,Computer Science and Engineering(Cyber Security),B.E/B.Tech
0414291710,04142,Data Science,B.E/B.Tech
0414299710,04142,Artificial Intelligence,B.E/B.Tech
0415100210,04151,Aeronautical Engineering,B.E/B.Tech
0415108210,04151,Bio Technology,B.E/B.Tech
0415119110,04151,Civil Engineering,B.E/B.Tech
0415124210,04151,Computer Science and Engineering,B.E/B.Tech
0415124610,04151,Information Technology,B.E/B.Tech
0415129310,04151,Electrical Engineering,B.E/B.Tech
0415137010,04151,Electronics and Communication Engineering,B.E/B.Tech
0415161210,04151,Mechanical Engineering,B.E/B.Tech
0415191210,04151,Computer Science and Engineering(Data Science),B.E/B.Tech
0416719110,04167,Civil Engineering,B.E/B.Tech
0416724210,04167,Computer Science and Engineering,B.E/B.Tech
0416724610,04167,Information Technology,B.E/B.Tech
0416725110,04167,Computer Technology,B.E/B.Tech
0416725710,04167,Computer Science and Design,B.E/B.Tech
0416726710,04167,Computer Science and Engineering (IoT),B.E/B.Tech
0416735610,04167,Electrical Engg[Electronics and Power],B.E/B.Tech
0416737210,04167,Electronics and Telecommunication Engg,B.E/B.Tech
0416737610,04167,Electronics Engineering,B.E/B.Tech
0416737810,04167,Electronics Engineering ( VLSI Design and Technology),B.E/B.Tech
0416761210,04167,Mechanical Engineering,B.E/B.Tech
0416791110,04167,Computer Science and Engineering(Artificial Intelligence and Machine Learning),B.E/B.Tech
0416799510,04167,Artificial Intelligence and Data Science,B.E/B.Tech
0417419110,04174,Civil Engineering,B.E/B.Tech
0417424510,04174,Computer Engineering,B.E/B.Tech
0417424610,04174,Information Technology,B.E/B.Tech
0417426010,04174,Computer Science and Engineering (Cyber Security),B.E/B.Tech
0417426210,04174,Computer Science and Business Systems,B.E/B.Tech
0417426510,04174,Industrial IoT,B.E/B.Tech
0417429310,04174,Electrical Engineering,B.E/B.Tech
0417437210,04174,Electronics and Telecommunication Engg,B.E/B.Tech
0417461210,04174,Mechanical Engineering,B.E/B.Tech
0417491210,04174,Computer Science and Engineering(Data Science),B.E/B.Tech
0417499710,04174,Artificial Intelligence,B.E/B.Tech
0500419110,05004,Civil Engineering,B.E/B.Tech
0500424510,05004,Computer Engineering,B.E/B.Tech
0500429310,05004,Electrical Engineering,B.E/B.Tech
0500437210,05004,Electronics and Telecommunication Engg,B.E/B.Tech
0500446610,05004,Instrumentation Engineering,B.E/B.Tech
0500461210,05004,Mechanical Engineering,B.E/B.Tech
0510919110,05109,Civil Engineering,B.E/B.Tech
0510924510,05109,Computer Engineering,B.E/B.Tech
0510924610,05109,Information Technology,B.E/B.Tech
0510929310,05109,Electrical Engineering,B.E/B.Tech
0510937210,05109,Electronics and Telecommunication Engg,B.E/B.Tech
0510961210,05109,Mechanical Engineering,B.E/B.Tech
0510991610,05109,Automation and Robotics,B.E/B.Tech
0510999510,05109,Artificial Intelligence and Data Science,B.E/B.Tech
0512119110,05121,Civil Engineering,B.E/B.Tech
0512124510,05121,Computer Engineering,B.E/B.Tech
0512124610,05121,Information Technology,B.E/B.Tech
0512125710,05121,Computer Science and Design,B.E/B.Tech
0512129310,05121,Electrical Engineering,B.E/B.Tech
0512137210,05121,Electronics and Telecommunication Engg,B.E/B.Tech
0512150710,05121,Chemical Engineering,B.E/B.Tech
0512161210,05121,Mechanical Engineering,B.E/B.Tech
0512191910,05121,Robotics and Automation,B.E/B.Tech
0512199510,05121,Artificial Intelligence and Data Science,B.E/B.Tech
0515219110,05152,Civil Engineering,B.E/B.Tech
0515224210,05152,Computer Science and Engineering,B.E/B.Tech
0515224610,05152,Information Technology,B.E/B.Tech
0515229310,05152,Electrical Engineering,B.E/B.Tech
0515237210,05152,Electronics and Telecommunication Engg,B.E/B.Tech
0515261210,05152,Mechanical Engineering,B.E/B.Tech
0515291110,05152,Computer Science and Engineering(Artificial Intelligence and Machine Learning),B.E/B.Tech
0515291210,05152,Computer Science and Engineering(Data Science),B.E/B.Tech
0515291310,05152,Computer Science and Engineering (Artificial Intelligence),B.E/B.Tech
0516019110,05160,Civil Engineering,B.E/B.Tech
0516024510,05160,Computer Engineering,B.E/B.Tech
0516024610,05160,Information Technology,B.E/B.Tech
0516029310,05160,Electrical Engineering,B.E/B.Tech
0516061210,05160,Mechanical Engineering,B.E/B.Tech
0516062410,05160,Mechatronics Engineering,B.E/B.Tech
0516084410,05160,Electronics and Computer Engineering,B.E/B.Tech
0516091510,05160,Structural Engineering,B.E/B.Tech
0517219110,05172,Civil Engineering,B.E/B.Tech
0517224510,05172,Computer Engineering,B.E/B.Tech
0517229310,05172,Electrical Engineering,B.E/B.Tech
0517237210,05172,Electronics and Telecommunication Engg,B.E/B.Tech
0517261210,05172,Mechanical Engineering,B.E/B.Tech
0517291210,05172,Computer Science and Engineering(Data Science),B.E/B.Tech
0517292110,05172,Artificial Intelligence and Machine Learning,B.E/B.Tech
0600519110,06005,Civil Engineering,B.E/B.Tech
0600524610,06005,Information Technology,B.E/B.Tech
0600529310,06005,Electrical Engineering,B.E/B.Tech
0600537210,06005,Electronics and Telecommunication Engg,B.E/B.Tech
0600561210,06005,Mechanical Engineering,B.E/B.Tech
0600619110,06006,Civil Engineering,B.E/B.Tech
0600624510,06006,Computer Engineering,B.E/B.Tech
0600629310,06006,Electrical Engineering,B.E/B.Tech
0600637210,06006,Electronics and Telecommunication Engg,B.E/B.Tech
0600646410,06006,Instrumentation and Control Engineering,B.E/B.Tech
0600661210,06006,Mechanical Engineering,B.E/B.Tech
0600662710,06006,Manufacturing Science and Engineering,B.E/B.Tech
0600669410,06006,Metallurgy and Material Technology,B.E/B.Tech
0600719110,06007,Civil Engineering,B.E/B.Tech
0600724210,06007,Computer Science and Engineering,B.E/B.Tech
0600724610,06007,Information Technology,B.E/B.Tech
0600729310,06007,Electrical Engineering,B.E/B.Tech
0600737610,06007,Electronics Engineering,B.E/B.Tech
0600761210,06007,Mechanical Engineering,B.E/B.Tech
0614119110,06141,Civil Engineering,B.E/B.Tech
0614124510,06141,Computer Engineering,B.E/B.Tech
0614124610,06141,Information Technology,B.E/B.Tech
0614126210,06141,Computer Science and Business Systems,B.E/B.Tech
0614129310,06141,Electrical Engineering,B.E/B.Tech
0614137210,06141,Electronics and Telecommunication Engg,B.E/B.Tech
0614161210,06141,Mechanical Engineering,B.E/B.Tech
0614191610,06141,Automation and Robotics,B.E/B.Tech
0614619110,06146,Civil Engineering,B.E/B.Tech
0614624510,06146,Computer Engineering,B.E/B.Tech
0614637210,06146,Electronics and Telecommunication Engg,B.E/B.Tech
0614637610,06146,Electronics Engineering,B.E/B.Tech
0614650710,06146,Chemical Engineering,B.E/B.Tech
0614661210,06146,Mechanical Engineering,B.E/B.Tech
0614692710,06146,Computer Engineering (Software Engineering),B.E/B.Tech
0615519110,06155,Civil Engineering,B.E/B.Tech
0615524510,06155,Computer Engineering,B.E/B.Tech
0615524610,06155,Information Technology,B.E/B.Tech
0615526010,06155,Computer Science and Engineering (Cyber Security),B.E/B.Tech
0615529310,06155,Electrical Engineering,B.E/B.Tech
0615537210,06155,Electronics and Telecommunication Engg,B.E/B.Tech
0615561210,06155,Mechanical Engineering,B.E/B.Tech
0615591110,06155,Computer Science and Engineering(Artificial Intelligence and Machine Learning),B.E/B.Tech
0615591210,06155,Computer Science and Engineering(Data Science),B.E/B.Tech
0615591310,06155,Computer Science and Engineering (Artificial Intelligence),B.E/B.Tech
0617519110,06175,Civil Engineering,B.E/B.Tech
0617524510,06175,Computer Engineering,B.E/B.Tech
0617524610,06175,Information Technology,B.E/B.Tech
0617537210,06175,Electronics and Telecommunication Engg,B.E/B.Tech
0617561210,06175,Mechanical Engineering,B.E/B.Tech
0617591110,06175,Computer Science and Engineering(Artificial Intelligence and Machine Learning),B.E/B.Tech
0621419110,06214,Civil Engineering,B.E/B.Tech
0621424510,06214,Computer Engineering,B.E/B.Tech
0621429310,06214,Electrical Engineering,B.E/B.Tech
0621437210,06214,Electronics and Telecommunication Engg,B.E/B.Tech
0621456810,06214,Computer Science and Information Technology,B.E/B.Tech
0621461210,06214,Mechanical Engineering,B.E/B.Tech
0621462410,06214,Mechatronics Engineering,B.E/B.Tech
0621491110,06214,Computer Science and Engineering(Artificial Intelligence and Machine Learning),B.E/B.Tech
0621491910,06214,Robotics and Automation,B.E/B.Tech
0622219110,06222,Civil Engineering,B.E/B.Tech
0622224210,06222,Computer Science and Engineering,B.E/B.Tech
0622226310,06222,Artificial Intelligence (AI) and Data Science,B.E/B.Tech
0622229310,06222,Electrical Engineering,B.E/B.Tech
