institute_code,institute_name,university,status_type
03154,"Saraswati Education Society's Saraswati College of Engineering,Kharghar Navi Mumbai",Maharashtra State,Approved Institute
03162,"Bharti Vidyapeeth's Institute of Management & Information Technology, Navi Mumbai",Maharashtra State,Approved Institute
03167,"Mumbai Education Trust's Institute of Computer Science, Bandra (W), Mumbai",Maharashtra State,Approved Institute
03168,"Thakur Institute of Management Studies Career Development & Research, Kandivali (E), Mumbai",Maharashtra State,Approved Institute
03169,"Late Bhausaheb Hiray S. S. Trust's Institute of Computer Application, Bandra (E), Mumbai",Maharashtra State,Approved Institute
03173,"Deccan Education Society's Navinchandra Mehta Institute of Technology & Development, Dadar, Mumbai",Maharashtra State,Approved Institute
03175,"M.G.M.'s College of Engineering and Technology, Kamothe, Navi Mumbai",Maharashtra State,Approved Institute
03176,"Thakur College of Engineering and Technology, Kandivali, Mumbai",Maharashtra State,Approved Institute
03182,"Thadomal Shahani Engineering College, Bandra, Mumbai",Maharashtra State,Approved Institute
03183,"Anjuman-I-Islam's M.H. Saboo Siddik College of Engineering, Byculla, Mumbai",Maharashtra State,Approved Institute
03184,"Fr. Conceicao Rodrigues College of Engineering, Bandra,Mumbai",Maharashtra State,Approved Institute
03185,"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai",Maharashtra State,Approved Institute
03187,"N.Y.S.S.'s Datta Meghe College of Engineering, Airoli, Navi Mumbai",Maharashtra State,Approved Institute
03188,"Vasantdada Patil Pratishthan's College Of Engineering and Visual Arts, Sion, Mumbai",Maharashtra State,Approved Institute
03189,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Maharashtra State,Approved Institute
03190,"Terna Engineering College, Nerul, Navi Mumbai",Maharashtra State,Approved Institute
03192,"Smt. Indira Gandhi College of Engineering, Navi Mumbai",Maharashtra State,Approved Institute
03193,"Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai",Maharashtra State,Approved Institute
03194,"Vidyavardhini's College of Engineering and Technology, Vasai",Maharashtra State,Approved Institute
03196,"Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai",Maharashtra State,Approved Institute
03197,"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",Maharashtra State,Approved Institute
03198,"Konkan Gyanpeeth College of Engineering, Karjat",Maharashtra State,Approved Institute
03199,"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",Maharashtra State,Approved Institute
03200,"Hope Foundation and research center's Finolex Academy of Management and Technology, Ratnagiri",Maharashtra State,Approved Institute
03201,"Rizvi Education Society's Rizvi College of Engineering, Bandra,Mumbai",Maharashtra State,Approved Institute
03202,Rajendra Mane College of Engineering & Technology Ambav Deorukh,Maharashtra State,Approved Institute
03203,"Atharva College of Engineering,Malad(West),Mumbai",Maharashtra State,Approved Institute
03204,"St. Francis Institute of Technology,Borivali, Mumbai",Maharashtra State,Approved Institute
03206,"S.S.P.M.'s College of Engineering, Kankavli",Maharashtra State,Approved Institute
03207,"Mahatma Education Society's Pillai College of Engineering, New Panvel",Maharashtra State,Approved Institute
03208,"Don Bosco Institute of Technology, Mumbai",Maharashtra State,Approved Institute
03209,K J Somaiya Institute of Technology,Maharashtra State,Approved Institute
03210,"Excelsior Education Society's K.C. College of Engineering and Management Studies and Research, Kopri, Thane (E)",Maharashtra State,Approved Institute
03211,"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai",Maharashtra State,Approved Institute
03212,"Watumull Institute of Engineering & Technology, Ulhasnagar",Maharashtra State,Approved Institute
